-0.90,1.03,-1.34,-1.31
-1.14,-0.12,-1.34,-1.31
-1.39,0.34,-1.40,-1.31
-1.51,0.11,-1.28,-1.31
-1.02,1.26,-1.34,-1.31
-0.54,1.96,-1.17,-1.05
-1.51,0.80,-1.34,-1.18
-1.02,0.80,-1.28,-1.31
-1.75,-0.36,-1.34,-1.31
-1.14,0.11,-1.28,-1.44
-0.54,1.49,-1.28,-1.31
-1.26,0.80,-1.23,-1.31
-1.26,-0.12,-1.34,-1.44
-1.87,-0.12,-1.51,-1.44
-0.05,2.19,-1.46,-1.31
-0.17,3.11,-1.28,-1.05
-0.54,1.96,-1.40,-1.05
-0.90,1.03,-1.34,-1.18
-0.17,1.73,-1.17,-1.18
-0.90,1.73,-1.28,-1.18
-0.54,0.80,-1.17,-1.31
-0.90,1.49,-1.28,-1.05
-1.51,1.26,-1.57,-1.31
-0.90,0.57,-1.17,-0.92
-1.26,0.80,-1.06,-1.31
-1.02,-0.12,-1.23,-1.31
-1.02,0.80,-1.23,-1.05
-0.78,1.03,-1.28,-1.31
-0.78,0.80,-1.34,-1.31
-1.39,0.34,-1.23,-1.31
-1.26,0.11,-1.23,-1.31
-0.54,0.80,-1.28,-1.05
-0.78,2.42,-1.28,-1.44
-0.42,2.65,-1.34,-1.31
-1.14,0.11,-1.28,-1.44
-1.02,0.34,-1.46,-1.31
-0.42,1.03,-1.40,-1.31
-1.14,0.11,-1.28,-1.44
-1.75,-0.12,-1.40,-1.31
-0.90,0.80,-1.28,-1.31
-1.02,1.03,-1.40,-1.18
-1.63,-1.74,-1.40,-1.18
-1.75,0.34,-1.40,-1.31
-1.02,1.03,-1.23,-0.79
-0.90,1.73,-1.06,-1.05
-1.26,-0.12,-1.34,-1.18
-0.90,1.73,-1.23,-1.31
-1.51,0.34,-1.34,-1.31
-0.66,1.49,-1.28,-1.31
-1.02,0.57,-1.34,-1.31
1.40,0.34,0.54,0.26
0.67,0.34,0.42,0.40
1.28,0.11,0.65,0.40
-0.42,-1.74,0.14,0.13
0.80,-0.59,0.48,0.40
-0.17,-0.59,0.42,0.13
0.55,0.57,0.54,0.53
-1.14,-1.51,-0.26,-0.26
0.92,-0.36,0.48,0.13
-0.78,-0.82,0.08,0.26
-1.02,-2.44,-0.15,-0.26
0.07,-0.12,0.25,0.40
0.19,-1.98,0.14,-0.26
0.31,-0.36,0.54,0.26
-0.29,-0.36,-0.09,0.13
1.04,0.11,0.36,0.26
-0.29,-0.12,0.42,0.40
-0.05,-0.82,0.19,-0.26
0.43,-1.98,0.42,0.40
-0.29,-1.28,0.08,-0.13
0.07,0.34,0.59,0.79
0.31,-0.59,0.14,0.13
0.55,-1.28,0.65,0.40
0.31,-0.59,0.54,0.00
0.67,-0.36,0.31,0.13
0.92,-0.12,0.36,0.26
1.16,-0.59,0.59,0.26
1.04,-0.12,0.71,0.66
0.19,-0.36,0.42,0.40
-0.17,-1.05,-0.15,-0.26
-0.42,-1.51,0.02,-0.13
-0.42,-1.51,-0.03,-0.26
-0.05,-0.82,0.08,0.00
0.19,-0.82,0.76,0.53
-0.54,-0.12,0.42,0.40
0.19,0.80,0.42,0.53
1.04,0.11,0.54,0.40
0.55,-1.74,0.36,0.13
-0.29,-0.12,0.19,0.13
-0.42,-1.28,0.14,0.13
-0.42,-1.05,0.36,0.00
0.31,-0.12,0.48,0.26
-0.05,-1.05,0.14,0.00
-1.02,-1.74,-0.26,-0.26
-0.29,-0.82,0.25,0.13
-0.17,-0.12,0.25,0.00
-0.17,-0.36,0.25,0.13
0.43,-0.36,0.31,0.13
-0.90,-1.28,-0.43,-0.13
-0.17,-0.59,0.19,0.13
0.55,0.57,1.27,1.71
-0.05,-0.82,0.76,0.92
1.52,-0.12,1.22,1.19
0.55,-0.36,1.05,0.79
0.80,-0.12,1.16,1.32
2.13,-0.12,1.62,1.19
-1.14,-1.28,0.42,0.66
1.77,-0.36,1.45,0.79
1.04,-1.28,1.16,0.79
1.64,1.26,1.33,1.71
0.80,0.34,0.76,1.05
0.67,-0.82,0.88,0.92
1.16,-0.12,0.99,1.19
-0.17,-1.28,0.71,1.05
-0.05,-0.59,0.76,1.58
0.67,0.34,0.88,1.45
0.80,-0.12,0.99,0.79
2.25,1.73,1.67,1.32
2.25,-1.05,1.79,1.45
0.19,-1.98,0.71,0.40
1.28,0.34,1.10,1.45
-0.29,-0.59,0.65,1.05
2.25,-0.59,1.67,1.05
0.55,-0.82,0.65,0.79
1.04,0.57,1.10,1.19
1.64,0.34,1.27,0.79
0.43,-0.59,0.59,0.79
0.31,-0.12,0.65,0.79
0.67,-0.59,1.05,1.19
1.64,-0.12,1.16,0.53
1.89,-0.59,1.33,0.92
2.49,1.73,1.50,1.05
0.67,-0.59,1.05,1.32
0.55,-0.59,0.76,0.40
0.31,-1.05,1.05,0.26
2.25,-0.12,1.33,1.45
0.55,0.80,1.05,1.58
0.67,0.11,0.99,0.79
0.19,-0.12,0.59,0.79
1.28,0.11,0.93,1.19
1.04,0.11,1.05,1.58
1.28,0.11,0.76,1.45
-0.05,-0.82,0.76,0.92
1.16,0.34,1.22,1.45
1.04,0.57,1.10,1.71
1.04,-0.12,0.82,1.45
0.55,-1.28,0.71,0.92
0.80,-0.12,0.82,1.05
0.43,0.80,0.93,1.45
0.07,-0.12,0.76,0.79
